published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-10,299.70,344.60,299.70,344.60,14.98,110.00,36581.00,1
2026-06-11,331.70,396.20,331.70,396.20,14.97,100.00,36810.00,1
2026-06-12,413.00,455.60,413.00,455.60,14.99,100.00,43758.00,1
2026-06-15,469.20,523.90,469.20,523.90,14.99,210.00,108688.00,1
2026-06-16,550.00,602.40,550.00,602.40,14.98,260.00,155536.00,1
2026-06-17,620.40,692.70,620.40,692.70,14.99,250.00,171420.00,1
2026-06-18,700.00,796.60,700.00,796.60,15.00,398.00,312992.40,1
2026-06-19,836.00,916.00,836.00,916.00,14.99,1380.00,1262412.00,1
2026-06-22,961.80,1053.40,870.10,964.20,5.26,81620.00,77370648.00,1
2026-06-23,950.00,950.00,855.10,857.00,-11.12,54588.00,49049001.00,-1
2026-06-24,860.00,900.00,810.00,875.00,2.10,39477.00,33349079.00,1
2026-06-25,875.00,936.00,851.00,900.00,2.86,23135.00,20511850.60,1
2026-06-26,880.00,905.00,873.10,875.00,-2.78,25803.00,22872906.20,-1
2026-06-29,831.30,875.00,831.30,855.00,-2.29,31428.00,26894334.10,-1
2026-06-30,812.30,855.00,788.00,849.90,-0.60,27374.00,22885217.40,-1
2026-07-01,807.50,907.00,807.50,888.00,4.48,29517.00,25937444.10,1
2026-07-02,888.00,915.00,865.00,905.00,1.91,27833.00,24669863.80,1
2026-07-03,859.80,954.80,859.80,898.00,-0.77,25254.00,22694076.70,-1
2026-07-06,853.10,905.00,853.10,887.00,-1.22,26917.00,23614233.10,-1
2026-07-07,850.00,890.00,850.00,870.00,-1.92,20186.00,17581555.50,-1
2026-07-08,860.00,880.00,826.80,857.00,-1.49,28726.00,24835324.00,-1
2026-07-09,850.00,932.00,807.10,871.60,1.70,31890.00,27296535.30,1
2026-07-10,850.00,921.00,849.10,879.90,0.95,45663.00,40926453.30,1
