published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-17,296.60,323.90,296.60,323.90,0.00,50.00,15370.00,1
2026-07-20,333.60,372.40,333.60,372.40,14.97,80.00,28852.00,1
2026-07-21,376.10,428.20,376.10,428.20,14.98,160.00,66543.00,1
2026-07-22,441.00,492.40,441.00,492.40,14.99,100.00,47992.00,1
2026-07-23,507.10,566.20,507.10,566.20,14.99,120.00,66509.00,1
2026-07-24,507.10,566.20,507.10,566.20,14.99,120.00,66509.00,1
2026-07-27,670.60,748.70,670.60,748.70,14.99,530.00,394917.00,1
2026-07-28,771.10,861.00,771.10,861.00,15.00,700.00,600518.00,1
2026-07-29,886.80,990.10,886.80,990.10,14.99,760.00,749972.00,1
2026-07-30,990.00,1138.60,990.00,1138.60,15.00,2640.00,3001531.00,1
2026-07-31,1195.00,1309.30,1195.00,1309.30,14.99,13500.00,17667452.00,1
2026-08-03,1374.70,1505.60,1374.70,1505.60,14.99,73580.00,106631113.00,1
2026-08-04,1580.80,1731.40,1580.80,1731.40,15.00,16900.00,28596985.00,1
2026-08-05,1817.90,1980.00,1575.00,1575.00,-9.03,106014.00,179249169.70,-1
2026-08-06,1500.00,1685.00,1500.00,1612.00,2.35,74398.00,116339684.80,1
