published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-08,1020.00,1100.00,1020.00,1100.00,7.84,2326.00,2553070.00,1
2026-04-09,1078.00,1101.00,1078.00,1090.00,-0.91,2200.00,2407561.50,-1
2026-04-10,1080.00,1095.00,1080.00,1091.00,0.09,835.00,909662.50,1
2026-04-13,1084.00,1091.50,1084.00,1087.80,-0.29,1176.00,1280593.70,-1
2026-04-14,1084.00,1091.50,1084.00,1087.80,-0.29,1176.00,1280593.70,-1
2026-04-15,1087.00,1095.00,1087.00,1090.00,0.20,930.00,1014534.00,1
2026-04-16,1089.00,1110.00,1080.50,1090.00,0.00,2301.00,2525447.30,0
2026-04-17,1082.10,1099.90,1082.10,1090.00,0.00,775.00,845242.50,0
2026-04-20,1083.00,1089.00,1083.00,1085.50,-0.41,275.00,298575.00,-1
2026-04-21,1076.60,1090.90,1076.60,1084.10,-0.13,425.00,461295.80,-1
2026-04-22,1085.00,1085.00,1073.10,1084.00,-0.01,350.00,378577.50,-1
2026-04-23,1081.20,1083.60,1081.20,1083.60,-0.04,275.00,297667.50,-1
2026-04-24,1100.00,1100.00,1082.00,1083.10,-0.05,2425.00,2662457.50,-1
2026-04-27,1083.10,1110.00,1085.10,1098.90,1.46,1200.00,1313601.00,1
2026-04-28,1115.00,1115.00,1090.00,1090.00,-0.81,1150.00,1264499.00,-1
2026-04-29,1090.00,1100.00,1086.00,1096.00,0.55,365.00,399085.50,1
2026-04-30,1098.00,1098.00,1085.00,1087.10,-0.81,375.00,408623.00,-1
2026-05-01,1098.00,1098.00,1085.00,1087.10,-0.81,375.00,408623.00,-1
2026-05-04,1086.60,1087.00,1085.00,1085.00,-0.19,225.00,244520.00,-1
2026-05-05,1090.00,1090.00,1085.00,1085.50,0.05,270.00,293130.00,1
2026-05-06,1076.20,1087.00,1076.20,1085.10,-0.04,342.00,370899.10,-1
2026-05-07,1084.10,1090.00,1083.10,1083.10,-0.18,220.00,238707.00,-1
