published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,295.40,339.70,295.40,339.70,15.00,200.00,66189.00,1
2026-07-03,349.80,390.60,349.80,390.60,14.98,150.00,57597.00,1
2026-07-06,410.10,449.10,410.10,449.10,14.98,470.00,209878.00,1
2026-07-07,462.50,516.40,462.50,516.40,14.99,2530.00,1305181.00,1
2026-07-08,542.20,542.20,485.00,487.00,-5.69,142982.00,70837396.40,-1
2026-07-09,480.00,480.00,463.00,477.00,-2.05,55910.00,26297794.00,-1
2026-07-10,477.00,535.60,465.00,510.00,6.92,51203.00,26146678.00,1
2026-07-13,510.00,510.00,481.50,486.00,-4.71,38258.00,18706043.50,-1
2026-07-14,472.00,500.50,462.00,479.00,-1.44,44088.00,21225132.10,-1
2026-07-15,479.00,495.20,475.00,479.90,0.19,22727.00,11010797.80,1
2026-07-16,480.00,482.50,470.50,473.00,-1.44,20278.00,9629204.10,-1
2026-07-17,473.00,499.80,463.00,497.00,5.07,33606.00,16475065.30,1
