published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-05-27,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-05-28,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-05-29,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-06-01,375.30,433.30,375.30,433.30,14.99,150.00,62668.00,1
2026-06-02,446.20,498.20,446.20,498.20,14.98,130.00,63500.00,1
2026-06-03,497.10,572.90,497.10,572.90,14.99,200.00,112323.00,1
2026-06-04,601.50,658.80,601.50,658.80,14.99,170.00,110232.00,1
2026-06-05,691.70,757.60,691.70,757.60,15.00,440.00,331975.00,1
2026-06-08,780.30,871.20,780.30,871.20,14.99,990.00,860284.00,1
2026-06-09,914.70,1001.80,914.70,1001.80,14.99,3380.00,3384277.00,1
2026-06-10,1051.80,1152.00,1051.80,1152.00,14.99,12420.00,14296670.00,1
2026-06-11,1200.00,1324.80,1134.00,1193.20,3.58,110575.00,133644654.00,1
2026-06-12,1252.80,1252.80,1050.30,1066.00,-10.66,66840.00,73561851.30,-1
2026-06-15,1066.00,1166.00,1000.10,1073.00,0.66,36390.00,38377819.50,1
2026-06-16,1041.00,1080.00,1015.40,1035.00,-3.54,33110.00,34500805.80,-1
2026-06-17,984.40,1035.00,984.40,1008.00,-2.61,31840.00,32398879.30,-1
2026-06-18,995.00,1028.90,984.00,1010.00,0.20,26798.00,26728297.60,1
2026-06-19,989.10,1009.00,986.40,998.00,-1.19,15157.00,15121175.40,-1
2026-06-22,986.20,1014.00,968.20,985.70,-1.23,22983.00,22697385.30,-1
2026-06-23,936.50,1010.00,930.10,930.10,-5.64,21145.00,20132575.60,-1
2026-06-24,930.00,956.00,855.00,899.90,-3.25,30181.00,26713082.20,-1
2026-06-25,876.00,930.00,875.00,930.00,3.34,18194.00,16584276.80,1
2026-06-26,950.00,950.00,889.90,914.00,-1.72,14555.00,13199419.30,-1
2026-06-29,890.10,892.00,870.00,880.00,-3.72,13740.00,12069588.70,-1
2026-06-30,836.00,890.00,836.00,843.10,-4.19,12498.00,10666976.20,-1
