published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-24,1000.00,1000.00,932.00,962.00,0.00,585.00,573814.00,1
2026-08-25,962.00,990.00,962.00,990.00,2.91,50.00,48800.00,1
2026-08-26,962.00,990.80,962.00,990.80,0.08,125.00,121690.00,1
2026-08-27,963.00,990.00,963.00,990.00,-0.08,35.00,33975.00,-1
2026-08-28,963.00,990.00,963.00,990.00,-0.08,35.00,33975.00,-1
2026-08-31,986.00,986.00,980.00,981.00,-0.91,100.00,98300.00,-1
2026-09-01,951.60,999.00,930.00,999.00,1.83,770.00,760585.00,1
2026-09-02,970.00,970.00,941.00,941.00,-5.81,50.00,47775.00,-1
2026-09-03,915.00,915.00,907.10,909.00,-3.40,80.00,72852.50,-1
2026-09-07,909.00,930.00,909.00,930.00,2.31,75.00,69225.00,1
2026-09-09,903.10,903.10,903.10,903.10,-2.89,25.00,22577.50,-1
2026-09-10,920.00,930.00,907.60,907.60,0.50,75.00,68940.00,1
2026-09-14,907.60,907.60,907.60,907.60,0.00,25.00,22690.00,0
2026-09-17,934.00,934.00,930.00,934.00,2.91,75.00,69950.00,1
2026-09-18,930.00,930.00,930.00,930.00,-0.43,50.00,46500.00,-1
2026-09-22,911.10,929.00,911.10,929.00,-0.11,75.00,68789.90,-1
2026-09-23,920.00,923.00,920.00,923.00,-0.65,50.00,46075.00,-1
