published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-10,300.00,330.00,300.00,330.00,10.00,250.00,81310.00,1
2026-04-13,330.00,363.00,330.00,363.00,10.00,410.00,147191.00,1
2026-04-14,330.00,363.00,330.00,363.00,10.00,410.00,147191.00,1
2026-04-15,370.20,399.30,370.20,399.30,10.00,630.00,249971.00,1
2026-04-16,407.20,439.20,407.20,439.20,9.99,420.00,183677.00,1
2026-04-17,447.90,483.10,447.90,483.10,10.00,550.00,260263.00,1
2026-04-20,507.20,555.50,507.20,555.50,14.99,900.00,498464.00,1
2026-04-21,580.00,638.80,580.00,638.80,15.00,1000.00,637512.00,1
2026-04-22,657.90,734.60,657.90,734.60,15.00,1740.00,1276342.00,1
2026-04-23,756.60,844.70,756.60,844.70,14.99,4760.00,4018632.00,1
2026-04-24,886.20,971.40,886.20,971.40,15.00,9180.00,8912259.00,1
2026-04-27,1019.90,1117.10,1019.90,1117.10,15.00,79890.00,89204220.00,1
2026-04-28,1172.90,1280.00,1025.00,1039.00,-6.99,538665.00,583340716.60,-1
2026-04-29,1039.00,1090.90,943.20,958.10,-7.79,208142.00,202285218.10,-1
2026-04-30,940.00,1030.00,885.10,948.00,-1.05,108003.00,100071698.30,-1
2026-05-01,940.00,1030.00,885.10,948.00,-1.05,108003.00,100071698.30,-1
2026-05-04,948.00,960.00,880.10,888.00,-6.33,111017.00,100830677.00,-1
2026-05-05,888.00,916.70,850.00,897.00,1.01,87957.00,77374062.70,1
2026-05-06,897.00,918.00,875.00,876.00,-2.34,52889.00,47055834.80,-1
2026-05-07,860.10,890.00,860.00,869.90,-0.70,40050.00,34779181.90,-1
2026-05-08,850.00,916.00,850.00,897.00,3.12,65696.00,58491796.10,1
2026-05-11,897.00,908.90,887.00,892.00,-0.56,76095.00,68223419.40,-1
2026-05-12,892.00,901.00,861.00,875.00,-1.91,68984.00,60529086.70,-1
2026-05-13,835.00,901.00,835.00,865.00,-1.14,61981.00,53146392.10,-1
2026-05-14,865.00,865.00,840.00,843.00,-2.54,54070.00,45868872.10,-1
2026-05-15,840.00,860.00,836.00,839.80,-0.38,47373.00,40097481.30,-1
2026-05-18,840.00,845.00,805.90,811.90,-3.32,65056.00,53087977.20,-1
2026-05-19,811.90,835.00,800.00,805.00,-0.85,54810.00,44078840.20,-1
2026-05-20,765.00,827.00,765.00,822.00,2.11,51497.00,42024294.30,1
2026-05-21,827.00,835.90,810.00,812.00,-1.22,34235.00,28028318.10,-1
2026-05-22,772.00,833.00,772.00,827.00,1.85,61577.00,50631646.70,1
2026-05-25,827.00,860.00,815.00,852.80,3.12,66607.00,56623847.50,1
2026-05-27,800.00,839.90,800.00,820.00,-2.37,66085.00,54409805.00,-1
2026-05-28,800.00,839.90,800.00,820.00,-2.37,66085.00,54409805.00,-1
2026-05-29,800.00,839.90,800.00,820.00,-2.37,66085.00,54409805.00,-1
2026-06-01,815.00,818.90,800.00,803.70,-1.99,63106.00,50880027.60,-1
2026-06-02,763.60,811.00,763.60,793.00,-1.33,59979.00,47936071.30,-1
2026-06-03,793.00,809.90,793.00,800.00,0.88,43504.00,34818396.40,1
2026-06-04,800.00,805.00,789.00,789.20,-1.35,40923.00,32533137.30,-1
2026-06-05,749.80,850.00,749.80,780.00,-1.17,39256.00,30641373.20,-1
2026-06-08,770.00,788.00,754.00,758.00,-2.82,49322.00,37673374.20,-1
2026-06-09,750.00,783.00,732.00,768.00,1.32,84796.00,63423318.40,1
2026-06-10,765.00,787.40,760.00,774.00,0.78,39370.00,30553806.80,1
2026-06-11,770.00,775.00,755.00,755.90,-2.34,37639.00,28749620.10,-1
2026-06-12,755.90,765.00,741.00,744.00,-1.57,34937.00,26099795.60,-1
2026-06-15,730.00,759.00,730.00,741.00,-0.40,40066.00,29855107.90,-1
2026-06-16,741.00,780.00,730.00,742.00,0.13,28987.00,21459430.00,1
2026-06-17,740.00,750.00,737.20,740.00,-0.27,24500.00,18188497.10,-1
2026-06-18,740.00,745.00,730.00,740.00,0.00,27384.00,20121102.20,0
2026-06-19,730.00,739.00,718.10,719.00,-2.84,34513.00,25064429.50,-1
2026-06-22,700.00,740.50,700.00,725.00,0.83,43974.00,31846539.40,1
2026-06-23,720.00,720.00,696.00,705.00,-2.76,54451.00,38413596.70,-1
2026-06-24,705.00,705.00,670.00,690.00,-2.13,63460.00,43345204.70,-1
2026-06-25,681.00,696.00,675.50,680.00,-1.45,30094.00,20520426.70,-1
2026-06-26,680.00,689.90,671.00,682.00,0.29,18481.00,12542824.90,1
2026-06-29,647.90,682.00,647.90,662.00,-2.93,24776.00,16549599.70,-1
2026-06-30,660.00,670.00,638.00,639.00,-3.47,39939.00,25910459.60,-1
2026-07-01,627.00,666.90,627.00,664.90,4.05,37225.00,24365677.30,1
2026-07-02,634.70,671.00,634.70,661.00,-0.59,33466.00,22082898.80,-1
2026-07-03,651.00,664.90,651.00,654.00,-1.06,20256.00,13304462.40,-1
2026-07-06,645.60,650.10,628.60,634.00,-3.06,31985.00,20410657.50,-1
2026-07-07,602.30,679.00,602.30,639.80,0.91,20793.00,13180165.10,1
2026-07-08,640.00,645.00,615.10,623.00,-2.63,23862.00,14907187.20,-1
2026-07-09,618.00,622.00,606.20,609.00,-2.25,20390.00,12513627.70,-1
2026-07-10,606.00,619.00,601.30,609.90,0.15,60547.00,36995030.30,1
2026-07-13,609.00,610.00,588.00,590.00,-3.26,35156.00,20871860.30,-1
2026-07-14,585.10,599.00,572.10,589.70,-0.05,33962.00,19914140.50,-1
2026-07-15,580.00,599.00,573.00,594.00,0.73,18338.00,10839499.10,1
2026-07-16,590.00,607.00,590.00,595.00,0.17,43238.00,25852778.70,1
2026-07-17,595.00,669.90,595.00,652.00,9.58,103764.00,65182711.60,1
2026-07-20,650.00,674.50,650.00,665.00,1.99,50863.00,33697958.30,1
2026-07-21,665.00,688.00,650.00,665.00,0.00,71400.00,47637483.40,0
2026-07-22,650.00,670.50,650.00,665.00,0.00,42196.00,27789602.80,0
2026-07-23,631.80,701.00,631.80,687.00,3.31,58160.00,38883975.30,1
2026-07-24,631.80,701.00,631.80,687.00,3.31,58160.00,38883975.30,1
2026-07-27,660.00,700.00,650.10,664.00,-4.05,44869.00,30220277.90,-1
2026-07-28,697.20,697.20,641.00,655.00,-1.36,33269.00,21880019.10,-1
2026-07-29,625.00,672.70,625.00,664.00,1.37,34063.00,22368905.00,1
2026-07-30,664.00,669.80,636.00,649.50,-2.18,47211.00,30427769.10,-1
2026-07-31,630.00,660.00,630.00,654.00,0.69,32107.00,20850786.50,1
2026-08-03,650.00,671.00,641.00,650.00,-0.61,35221.00,23103005.30,-1
2026-08-04,640.00,680.00,638.00,638.10,-1.83,30411.00,19556653.90,-1
2026-08-05,670.00,670.00,631.59,644.00,0.92,39848.00,25500110.90,1
2026-08-06,612.00,650.00,612.00,635.00,-1.40,24618.00,15682458.00,-1
2026-08-07,630.00,640.00,619.00,622.30,-2.00,23281.00,14502481.71,-1
2026-08-10,622.00,628.50,615.00,625.00,0.43,20718.00,12815977.00,1
2026-08-11,620.00,629.00,617.00,623.00,-0.32,24243.00,15056350.50,-1
2026-08-12,620.00,630.00,615.00,623.00,0.00,26706.00,16529782.00,0
2026-08-13,622.00,663.00,618.00,650.90,4.48,116719.00,75457053.30,1
2026-08-14,653.00,655.00,634.50,639.00,-1.83,31250.00,20024645.40,-1
2026-08-17,639.00,639.00,625.00,632.00,-1.10,20764.00,13048584.80,-1
2026-08-18,628.00,690.00,620.90,622.00,-1.58,45986.00,29125470.40,-1
2026-08-19,616.00,630.00,615.30,621.00,-0.16,13207.00,8218846.90,-1
2026-08-20,620.00,630.00,615.00,622.90,0.31,25154.00,15638431.50,1
2026-08-21,620.00,629.90,609.30,615.00,-1.27,24622.00,15175692.90,-1
2026-08-24,610.00,623.00,600.00,607.90,-1.15,23117.00,13972284.20,-1
2026-08-25,606.00,610.00,598.00,600.00,-1.30,19968.00,12005439.20,-1
2026-08-26,600.00,600.00,585.00,594.10,-0.98,27688.00,16365319.80,-1
2026-08-27,576.40,635.00,576.40,621.00,4.53,67638.00,41840318.00,1
2026-08-28,576.40,635.00,576.40,621.00,4.53,67638.00,41840318.00,1
2026-08-31,621.00,654.00,615.00,646.00,4.03,105652.00,67659854.00,1
2026-09-01,646.00,656.00,622.00,623.20,-3.53,30235.00,19158871.40,-1
