published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,10.00,10.00,8.50,9.03,-9.70,17720.00,160077.19,-1
2026-08-11,8.58,9.41,8.58,9.01,-0.22,18520.00,167019.00,-1
2026-08-12,9.01,9.15,8.75,9.08,0.78,9600.00,86919.50,1
2026-08-13,9.00,9.40,9.00,9.12,0.44,9241.00,85195.35,1
2026-08-14,9.00,9.10,8.80,9.08,-0.44,6150.00,55638.50,-1
2026-08-17,9.00,9.25,8.75,9.00,-0.88,46730.00,420627.10,-1
2026-08-18,9.00,9.10,8.56,8.92,-0.89,7350.00,65753.00,-1
2026-08-19,8.90,9.27,8.80,9.01,1.01,11350.00,103429.50,1
2026-08-20,8.90,9.15,8.90,8.98,-0.33,11000.00,98787.00,-1
2026-08-21,9.00,9.15,8.73,8.92,-0.67,4900.00,43810.00,-1
2026-08-24,8.90,9.01,8.68,8.96,0.45,254600.00,2293464.00,1
2026-08-25,8.71,9.19,8.71,9.15,2.12,15100.00,136798.00,1
2026-08-26,8.88,8.94,8.88,8.93,-2.40,3700.00,33028.00,-1
