published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-06,10.00,10.00,9.40,9.50,-5.00,26800.00,255176.00,-1
2026-08-07,9.40,9.50,9.13,9.50,0.00,12800.00,119230.00,0
2026-08-10,9.22,9.40,9.15,9.26,-2.53,7350.00,67761.00,-1
2026-08-11,9.10,9.11,9.00,9.07,-2.05,11415.00,103320.05,-1
2026-08-12,9.00,9.34,8.90,9.08,0.11,8590.00,77872.50,1
2026-08-13,9.00,9.40,8.76,9.02,-0.66,8395.00,76023.50,-1
2026-08-14,9.00,9.78,9.00,9.13,1.22,8200.00,74998.00,1
2026-08-17,9.10,9.40,8.92,9.09,-0.44,6120.00,55847.50,-1
2026-08-18,8.90,9.25,8.90,9.07,-0.22,6430.00,58458.00,-1
2026-08-19,9.00,9.27,9.00,9.03,-0.44,6370.00,57640.80,-1
2026-08-20,9.02,9.08,9.02,9.04,0.11,3950.00,35687.00,1
2026-08-21,9.01,9.02,9.00,9.01,-0.33,5300.00,47758.00,-1
2026-08-24,9.00,9.10,9.00,9.06,0.55,4500.00,40643.00,1
2026-08-25,9.01,9.30,9.01,9.04,-0.22,8210.00,74466.80,-1
2026-08-26,9.04,9.10,9.02,9.05,0.11,2600.00,23562.00,1
2026-08-27,8.93,9.20,8.93,9.05,0.00,5400.00,48707.00,0
2026-08-28,8.93,9.20,8.93,9.05,0.00,5400.00,48707.00,0
2026-08-31,8.87,9.05,8.80,9.00,-0.55,4700.00,42201.00,-1
2026-09-01,8.80,9.05,8.80,9.00,0.00,4925.00,44383.00,0
