published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-13,300.00,345.00,300.00,345.00,15.00,70.00,22824.00,1
2026-08-14,348.40,396.70,348.40,396.70,14.99,60.00,22458.00,1
2026-08-17,404.20,456.20,404.20,456.20,15.00,160.00,71116.00,1
2026-08-18,456.50,524.60,456.50,524.60,14.99,150.00,76691.00,1
2026-08-19,537.70,603.20,537.70,603.20,14.98,190.00,112319.00,1
2026-08-20,621.20,693.60,621.20,693.60,14.99,180.00,123089.00,1
2026-08-21,714.40,797.60,714.40,797.60,14.99,400.00,317021.00,1
2026-08-24,837.00,917.20,837.00,917.20,14.99,960.00,877235.00,1
2026-08-25,917.00,1054.70,917.00,1054.70,14.99,1420.00,1493620.00,1
2026-08-26,1055.00,1212.90,1055.00,1212.90,15.00,1820.00,2202837.00,1
2026-08-27,1273.50,1394.80,1273.50,1394.80,15.00,4690.00,6535458.00,1
2026-08-28,1273.50,1394.80,1273.50,1394.80,15.00,4690.00,6535458.00,1
