published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-05,10.00,10.00,9.06,9.45,-5.50,42010.00,385279.50,-1
2026-08-06,9.20,9.50,8.75,9.16,-3.07,26480.00,243789.80,-1
2026-08-07,9.10,9.50,8.99,9.15,-0.11,38577.00,356587.36,-1
2026-08-10,9.00,9.25,8.96,9.25,1.09,32050.00,290849.50,1
2026-08-11,9.00,9.11,8.93,9.05,-2.16,8040.00,72614.80,-1
2026-08-12,8.78,9.50,8.78,9.21,1.77,21470.00,199287.50,1
2026-08-13,9.20,9.40,9.00,9.10,-1.19,8545.00,78343.40,-1
2026-08-14,9.00,9.32,9.00,9.32,2.42,12250.00,112071.50,1
2026-08-17,9.05,9.32,9.05,9.10,-2.36,6000.00,54701.00,-1
2026-08-18,9.00,9.11,8.92,9.03,-0.77,7350.00,66435.50,-1
2026-08-19,9.01,9.29,8.80,9.02,-0.11,7950.00,72106.50,-1
2026-08-20,9.02,9.05,9.01,9.03,0.11,4900.00,44226.00,1
2026-08-21,9.02,9.27,8.90,9.01,-0.22,13922.00,126059.00,-1
2026-08-24,8.74,9.05,8.72,9.05,0.44,8400.00,75398.00,1
