published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,299.30,344.10,299.30,344.10,14.97,410.00,139313.00,1
2026-07-03,359.50,395.70,359.50,395.70,15.00,230.00,89858.00,1
2026-07-06,396.70,455.00,396.70,455.00,14.99,1260.00,571609.00,1
2026-07-07,477.00,523.20,477.00,503.10,10.57,156960.00,79567412.00,1
2026-07-08,505.00,509.00,465.10,471.10,-6.36,164060.00,78457570.00,-1
2026-07-09,471.10,471.10,445.20,458.80,-2.61,83860.00,37909295.50,-1
2026-07-10,455.00,505.90,443.00,487.00,6.15,69740.00,33893358.90,1
2026-07-13,490.00,495.50,462.00,462.50,-5.03,56722.00,26713611.30,-1
2026-07-14,462.50,474.40,444.00,461.50,-0.22,56112.00,25776480.10,-1
2026-07-15,460.00,486.00,456.60,470.00,1.84,53760.00,25334842.00,1
2026-07-16,470.00,476.00,455.50,462.00,-1.70,36739.00,17081260.70,-1
2026-07-17,462.00,486.20,462.00,481.00,4.11,55633.00,26612846.90,1
2026-07-20,481.00,506.30,468.00,503.00,4.57,101629.00,49561867.80,1
2026-07-21,505.00,563.00,491.10,536.00,6.56,129965.00,68599398.00,1
2026-07-22,539.00,550.00,520.90,528.00,-1.49,89670.00,48087223.80,-1
2026-07-23,521.00,552.00,510.00,550.00,4.17,109172.00,58185687.90,1
2026-07-24,521.00,552.00,510.00,550.00,4.17,109172.00,58185687.90,1
2026-07-27,550.00,555.00,513.50,520.00,-5.80,113444.00,60135641.90,-1
2026-07-28,515.00,537.00,505.00,535.00,2.88,85553.00,44585614.60,1
2026-07-29,535.00,544.00,517.00,535.00,0.00,52308.00,27684714.60,0
2026-07-30,535.00,535.60,515.00,519.90,-2.82,54154.00,28184799.20,-1
2026-07-31,545.80,545.80,508.20,529.00,1.75,69102.00,35892133.00,1
2026-08-03,520.00,544.80,520.00,529.60,0.11,101464.00,54010877.80,1
2026-08-04,525.00,525.00,511.00,513.40,-3.06,54401.00,28167394.60,-1
2026-08-05,510.00,522.00,510.00,513.00,-0.08,67404.00,34690830.00,-1
2026-08-06,513.40,535.00,513.00,525.60,2.46,121282.00,64136544.50,1
