published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-29,284.30,312.70,284.30,312.70,9.99,80.00,23601.00,1
2026-03-30,318.90,343.90,318.90,343.90,9.98,70.00,23458.00,1
2026-03-31,350.70,378.20,350.70,378.20,9.97,90.00,33362.00,1
2026-04-01,377.10,416.00,377.10,416.00,9.99,110.00,44579.00,1
2026-04-02,424.30,457.60,424.30,457.60,10.00,150.00,67820.00,1
2026-04-05,466.70,503.30,466.70,503.30,9.99,250.00,124927.00,1
2026-04-06,513.30,553.60,513.30,553.60,9.99,310.00,170624.00,1
2026-04-07,564.60,608.90,564.60,608.90,9.99,360.00,218115.00,1
2026-04-08,621.00,669.70,621.00,669.70,9.99,360.00,239897.00,1
2026-04-09,669.70,736.60,669.70,736.60,9.99,670.00,491537.00,1
2026-04-10,750.00,810.20,750.00,810.20,9.99,770.00,622358.00,1
2026-04-13,826.40,891.20,826.40,891.20,10.00,1050.00,934170.00,1
2026-04-14,826.40,891.20,826.40,891.20,10.00,1050.00,934170.00,1
2026-04-15,900.00,980.30,900.00,980.30,10.00,1080.00,1055740.00,1
2026-04-16,999.90,1078.30,999.90,1078.30,10.00,1270.00,1367516.00,1
2026-04-17,1099.80,1186.10,1099.80,1186.10,10.00,2070.00,2450519.00,1
2026-04-20,1245.40,1364.00,1245.40,1364.00,15.00,7150.00,9735907.00,1
2026-04-21,1432.20,1568.60,1432.20,1568.60,15.00,7280.00,11390662.00,1
2026-04-22,1647.00,1803.80,1647.00,1803.80,14.99,10180.00,18335914.00,1
2026-04-23,1893.90,2069.40,1591.00,1591.20,-11.79,109130.00,183395876.50,-1
2026-04-24,1595.00,1740.70,1470.00,1635.00,2.75,40161.00,62251142.00,1
2026-04-27,1635.00,1633.50,1563.00,1570.00,-3.98,18600.00,29584808.00,-1
2026-04-28,1580.00,1580.00,1410.00,1414.00,-9.94,38520.00,57129002.20,-1
2026-04-29,1414.00,1509.00,1363.00,1400.00,-0.99,32134.00,45784530.80,-1
2026-04-30,1386.00,1441.00,1365.00,1419.90,1.42,12590.00,17632764.20,1
2026-05-01,1386.00,1441.00,1365.00,1419.90,1.42,12590.00,17632764.20,1
2026-05-04,1450.00,1450.00,1321.00,1352.00,-4.78,13596.00,18620918.90,-1
2026-05-05,1352.00,1399.80,1301.00,1343.00,-0.67,22973.00,30940406.60,-1
2026-05-06,1410.00,1410.00,1288.00,1299.00,-3.28,12398.00,16157137.80,-1
2026-05-07,1234.10,1369.00,1234.10,1290.00,-0.69,13992.00,17837690.10,-1
2026-05-08,1290.00,1369.00,1256.20,1369.00,6.12,12416.00,16566555.10,1
2026-05-11,1437.40,1437.40,1329.00,1350.00,-1.39,14276.00,19480117.20,-1
2026-05-12,1417.50,1417.50,1285.00,1297.90,-3.86,14567.00,19064443.70,-1
2026-05-13,1297.90,1297.90,1261.00,1280.00,-1.38,10045.00,12772314.90,-1
2026-05-14,1216.00,1303.00,1216.00,1258.00,-1.72,7712.00,9668071.20,-1
2026-05-15,1260.00,1280.00,1234.50,1270.00,0.95,9026.00,11317777.50,1
2026-05-18,1269.90,1276.90,1238.30,1276.90,0.54,4281.00,5394537.00,1
2026-05-19,1240.00,1268.00,1240.00,1259.00,-1.40,3521.00,4417856.90,-1
2026-05-20,1295.90,1295.90,1225.00,1293.00,2.70,9580.00,12292379.50,1
2026-05-21,1275.00,1300.00,1253.20,1254.00,-3.02,7593.00,9628963.90,-1
2026-05-22,1240.00,1290.00,1240.00,1278.00,1.91,4902.00,6253335.20,1
2026-05-25,1290.00,1348.70,1278.00,1320.00,3.29,18880.00,24978940.80,1
2026-05-27,1280.00,1304.00,1270.00,1270.00,-2.60,11714.00,15015644.30,-1
2026-05-28,1280.00,1304.00,1270.00,1270.00,-2.60,11714.00,15015644.30,-1
2026-05-29,1280.00,1304.00,1270.00,1270.00,-2.60,11714.00,15015644.30,-1
2026-06-01,1290.00,1290.00,1225.00,1239.90,-2.37,10425.00,12949240.30,-1
2026-06-02,1180.00,1248.80,1180.00,1238.00,-0.15,4473.00,5527553.10,-1
2026-06-03,1215.00,1249.90,1215.00,1240.00,0.16,5553.00,6852002.80,1
2026-06-04,1190.00,1256.70,1190.00,1237.00,-0.24,4643.00,5739195.00,-1
2026-06-05,1221.10,1235.00,1170.00,1200.00,-2.99,7416.00,8877065.90,-1
2026-06-08,1190.00,1200.00,1145.00,1155.50,-3.71,8496.00,9915012.70,-1
2026-06-09,1155.00,1180.00,1102.00,1162.00,0.56,10482.00,11823285.30,1
2026-06-10,1150.00,1199.90,1145.00,1175.00,1.12,3605.00,4227336.70,1
2026-06-11,1150.00,1178.00,1145.30,1178.00,0.26,3703.00,4299570.50,1
2026-06-12,1150.00,1200.00,1143.00,1170.00,-0.68,9082.00,10607009.70,-1
2026-06-15,1140.00,1200.00,1115.00,1145.00,-2.14,7016.00,8036522.00,-1
2026-06-16,1100.00,1150.00,1100.00,1123.00,-1.92,8247.00,9231743.40,-1
2026-06-17,1113.00,1135.00,1111.10,1135.00,1.07,3008.00,3377986.00,1
2026-06-18,1085.00,1168.00,1085.00,1118.00,-1.50,2363.00,2638707.00,-1
2026-06-19,1104.00,1130.00,1100.00,1129.00,0.98,4448.00,4974234.40,1
2026-06-22,1113.00,1129.00,1100.00,1115.00,-1.24,4844.00,5379811.80,-1
2026-06-23,1101.00,1101.00,1054.00,1057.00,-5.20,10367.00,11149305.50,-1
2026-06-24,1005.00,1056.00,1005.00,1038.00,-1.80,3042.00,3136146.00,-1
2026-06-25,1038.00,1056.00,1011.00,1045.00,0.67,2608.00,2688731.30,1
2026-06-26,1097.00,1097.00,1022.00,1035.00,-0.96,2390.00,2476552.50,-1
2026-06-29,1020.00,1045.00,1005.20,1014.00,-2.03,1923.00,1947945.30,-1
2026-06-30,963.30,1009.90,963.30,974.80,-3.87,3796.00,3706304.80,-1
2026-07-01,933.00,1004.00,933.00,980.10,0.54,4859.00,4780902.10,1
2026-07-02,980.00,1009.50,970.00,985.00,0.50,4181.00,4098014.90,1
2026-07-03,980.10,1005.00,980.00,989.90,0.50,5605.00,5576727.80,1
2026-07-06,1029.00,1029.00,950.00,950.00,-4.03,3750.00,3609112.70,-1
