published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-08,276.50,304.10,276.50,304.10,9.98,390.00,116894.00,1
2026-06-09,306.80,349.70,306.80,349.70,15.00,200.00,68310.00,1
2026-06-10,351.50,402.10,351.50,402.10,14.98,340.00,134759.00,1
2026-06-11,422.20,462.40,422.20,462.40,15.00,300.00,136276.00,1
2026-06-12,471.30,531.70,471.30,531.70,14.99,380.00,198665.00,1
2026-06-15,550.00,611.40,550.00,611.40,14.99,610.00,367822.00,1
2026-06-16,629.50,703.10,629.50,703.10,15.00,780.00,545890.00,1
2026-06-17,724.10,808.50,724.10,808.50,14.99,860.00,693261.00,1
2026-06-18,848.00,929.70,848.00,929.70,14.99,1730.00,1605851.00,1
2026-06-19,950.00,1069.10,950.00,1060.00,14.02,190900.00,201367627.50,1
2026-06-22,1060.00,1217.00,990.00,1120.00,5.66,354195.00,374456148.00,1
2026-06-23,1120.00,1140.10,1033.10,1041.00,-7.05,178175.00,189098209.00,-1
2026-06-24,1041.00,1041.00,981.10,988.40,-5.05,172660.00,172271880.70,-1
