published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,300.00,345.00,300.00,345.00,15.00,260.00,87924.00,1
2026-06-23,346.10,396.70,346.10,396.70,14.99,220.00,85807.00,1
2026-06-24,408.60,456.20,408.60,456.20,15.00,240.00,108332.00,1
2026-06-25,456.60,524.60,456.60,524.60,14.99,338.00,175050.80,1
2026-06-26,540.30,603.20,540.30,603.20,14.98,630.00,378489.00,1
2026-06-29,633.30,693.60,633.30,693.60,14.99,3620.00,2506563.00,1
2026-06-30,728.20,772.50,591.10,596.30,-14.03,179731.00,113278711.00,-1
2026-07-01,596.00,655.00,550.00,618.20,3.67,75170.00,45805100.00,1
2026-07-02,618.00,640.00,590.00,596.60,-3.49,41840.00,25099760.00,-1
2026-07-03,566.80,602.00,566.80,584.00,-2.11,44285.00,26140019.90,-1
2026-07-06,554.80,583.00,554.20,555.00,-4.97,51401.00,28888180.40,-1
2026-07-07,540.00,560.00,530.10,530.50,-4.41,57686.00,31084234.00,-1
