published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,300.00,345.00,300.00,345.00,15.00,140.00,46974.00,1
2026-06-23,355.30,396.70,355.30,396.70,14.99,120.00,46597.00,1
2026-06-24,408.60,456.20,408.60,456.20,15.00,190.00,85522.00,1
2026-06-25,455.70,524.60,455.70,524.60,14.99,200.00,102876.00,1
2026-06-26,540.30,603.20,540.30,603.20,14.98,350.00,209593.00,1
2026-06-29,603.20,693.60,603.20,693.60,14.99,1150.00,794977.00,1
2026-06-30,728.20,797.60,622.00,636.50,-8.23,129250.00,86939369.00,-1
2026-07-01,635.00,718.00,602.00,689.00,8.25,53491.00,35496756.00,1
2026-07-02,715.00,715.00,651.00,663.20,-3.74,35070.00,23173890.00,-1
2026-07-03,660.00,660.00,640.00,640.00,-3.50,36650.00,23787326.20,-1
2026-07-06,640.00,640.00,605.00,606.50,-5.23,40245.00,24748215.00,-1
2026-07-07,600.00,616.10,591.10,595.00,-1.90,34422.00,20658121.50,-1
2026-07-08,590.00,590.00,562.00,564.20,-5.18,36973.00,21191387.00,-1
2026-07-09,562.00,562.00,541.60,552.00,-2.16,24730.00,13647718.20,-1
2026-07-10,545.00,593.80,545.00,584.00,5.80,27399.00,15746497.70,1
2026-07-13,584.00,584.00,555.20,556.10,-4.78,16850.00,9475791.50,-1
2026-07-14,555.00,567.00,545.00,555.00,-0.20,19747.00,10976316.00,-1
2026-07-15,555.00,568.00,552.00,558.00,0.54,15696.00,8786150.40,1
2026-07-16,546.10,566.00,546.10,556.00,-0.36,17544.00,9736965.00,-1
2026-07-17,550.00,592.00,550.00,588.10,5.77,22304.00,12897314.30,1
2026-07-20,588.00,623.00,576.00,623.00,5.93,31396.00,19017639.60,1
2026-07-21,623.00,667.00,612.00,630.00,1.12,46790.00,29985739.00,1
2026-07-22,602.70,650.00,602.70,633.30,0.52,33068.00,21138226.50,1
2026-07-23,620.30,665.00,616.90,660.00,4.22,42420.00,27235617.30,1
2026-07-24,620.30,665.00,616.90,660.00,4.22,42420.00,27235617.30,1
2026-07-27,640.10,660.00,606.10,615.00,-6.11,39992.00,25262205.80,-1
2026-07-28,645.70,649.80,593.10,642.00,4.39,56073.00,35554652.50,1
2026-07-29,637.80,665.00,637.80,650.00,1.25,50496.00,32924734.10,1
2026-07-30,640.40,661.00,630.10,645.00,-0.77,35977.00,23152678.70,-1
2026-07-31,630.20,654.70,622.30,644.00,-0.16,28063.00,17970606.20,-1
2026-08-03,644.00,655.00,630.00,636.10,-1.23,31529.00,20231016.10,-1
2026-08-04,627.10,635.00,615.00,617.00,-3.00,24091.00,14991071.00,-1
2026-08-05,602.00,650.00,602.00,639.60,3.66,21179.00,13237842.20,1
2026-08-06,639.60,670.00,617.10,639.70,0.02,47920.00,30576902.10,1
2026-08-07,639.70,649.00,615.00,621.80,-2.80,26605.00,16607085.00,-1
2026-08-10,620.00,639.00,612.10,624.00,0.35,17066.00,10650717.10,1
2026-08-11,620.00,634.80,617.50,625.00,0.16,18870.00,11756917.90,1
2026-08-12,612.00,630.00,612.00,626.00,0.16,22832.00,14263977.90,1
2026-08-13,626.00,630.00,618.00,623.00,-0.48,13280.00,8265042.10,-1
2026-08-14,615.00,633.00,615.00,623.00,0.00,17131.00,10670741.20,0
2026-08-17,615.10,670.00,600.00,637.00,2.25,49721.00,31322353.30,1
2026-08-18,635.10,660.00,630.10,637.00,0.00,41470.00,26557882.70,0
2026-08-19,620.00,659.00,620.00,634.70,-0.36,13126.00,8302798.80,-1
2026-08-20,620.00,634.00,620.00,625.00,-1.53,16310.00,10202501.90,-1
2026-08-21,616.00,625.10,610.00,614.50,-1.68,22153.00,13689411.20,-1
2026-08-24,645.00,645.00,584.10,600.00,-2.36,23049.00,13773806.10,-1
2026-08-25,570.00,606.00,570.00,586.00,-2.33,16145.00,9520488.70,-1
2026-08-26,571.00,594.00,558.40,589.90,0.67,21969.00,12552025.30,1
