published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,300.00,345.00,300.00,345.00,15.00,140.00,46974.00,1
2026-06-23,355.30,396.70,355.30,396.70,14.99,120.00,46597.00,1
2026-06-24,408.60,456.20,408.60,456.20,15.00,190.00,85522.00,1
2026-06-25,455.70,524.60,455.70,524.60,14.99,200.00,102876.00,1
2026-06-26,540.30,603.20,540.30,603.20,14.98,350.00,209593.00,1
2026-06-29,603.20,693.60,603.20,693.60,14.99,1150.00,794977.00,1
2026-06-30,728.20,797.60,622.00,636.50,-8.23,129250.00,86939369.00,-1
2026-07-01,635.00,718.00,602.00,689.00,8.25,53491.00,35496756.00,1
2026-07-02,715.00,715.00,651.00,663.20,-3.74,35070.00,23173890.00,-1
2026-07-03,660.00,660.00,640.00,640.00,-3.50,36650.00,23787326.20,-1
